CLe, Static Stability Margin
  -0.047525,    0.094255
   0.043215,    0.083748
   0.133808,    0.062566
   0.224244,    0.041194
   0.314518,    0.020109
   0.404636,    0.000079
   0.494612,   -0.019460
   0.584435,   -0.036330
   0.674100,   -0.046421
   0.763962,   -0.066224
   0.853376,   -0.088846
   0.942639,   -0.100418
   1.031752,   -0.111758
   1.120709,   -0.123059
   1.209511,   -0.134045
   1.298155,   -0.144370
   1.386649,   -0.153798
   1.474997,   -0.162872
   1.563193,   -0.171980
   1.651234,   -0.180665
   1.739114,   -0.190024
   1.825406,   -0.204339
   1.906108,   -0.227739
   1.977728,   -0.266163
