CLe, Static Stability Margin
  -0.051052,    0.449191
   0.045437,    0.440050
   0.141775,    0.421576
   0.237953,    0.402831
   0.333961,    0.384182
   0.429802,    0.366267
   0.525491,    0.348652
   0.621012,    0.333313
   0.716359,    0.323821
   0.811906,    0.305635
   0.906967,    0.284879
   1.001856,    0.273776
   1.096570,    0.262782
   1.191103,    0.251719
   1.285453,    0.240843
   1.379615,    0.230470
   1.473596,    0.220833
   1.567399,    0.211441
   1.661017,    0.201926
   1.754443,    0.192713
   1.847670,    0.182932
   1.939182,    0.169031
   2.024731,    0.147514
   2.100614,    0.113198
   2.164117,    0.048691
   2.213512,   -0.087609
   2.248062,   -0.423929
   2.267999,   -2.179674
   2.274511,    2.325199
   2.269736,    6.042113
   2.256777,    3.527535
   2.239679,    3.367227
   2.223294,    4.259380
   2.213056,    5.097820
