CLe, Static Stability Margin
  -0.047481,    0.089919
   0.052284,    0.077977
   0.151858,    0.054629
   0.251253,    0.031544
   0.350455,    0.008522
   0.449466,   -0.013854
   0.548291,   -0.031964
   0.646940,   -0.045611
   0.745745,   -0.067916
   0.844085,   -0.090432
   0.942238,   -0.103547
   1.040205,   -0.116384
   1.137978,   -0.128873
   1.235566,   -0.140324
   1.332975,   -0.151088
   1.430203,   -0.161583
   1.527246,   -0.171678
   1.624105,   -0.181215
   1.720780,   -0.191265
   1.816140,   -0.206429
   1.905234,   -0.232072
   1.983365,   -0.276408
