CLe, Static Stability Margin
  -0.048665,    0.120543
   0.042520,    0.111093
   0.133582,    0.092063
   0.224514,    0.072907
   0.315310,    0.054013
   0.405973,    0.036018
   0.496517,    0.018465
   0.586930,    0.003632
   0.677207,   -0.004512
   0.767706,   -0.022276
   0.857778,   -0.042867
   0.947718,   -0.052608
   1.037528,   -0.062113
   1.127203,   -0.071567
   1.216742,   -0.080719
   1.306144,   -0.089264
   1.395413,   -0.097001
   1.484553,   -0.104402
   1.573560,   -0.111795
   1.662429,   -0.118779
   1.751155,   -0.126338
   1.838297,   -0.138267
   1.919821,   -0.158174
   1.992204,   -0.191431
   2.052858,   -0.256645
