CLe, Static Stability Margin
  -0.049588,    0.313079
   0.053955,    0.302119
   0.157305,    0.280615
   0.260472,    0.259240
   0.363440,    0.237830
   0.466210,    0.216895
   0.568784,    0.199802
   0.671171,    0.186747
   0.773714,    0.165591
   0.875768,    0.144172
   0.977619,    0.131389
   1.079266,    0.118780
   1.180700,    0.106416
   1.281928,    0.094954
   1.382957,    0.084076
   1.483783,    0.073385
   1.584398,    0.063006
   1.684805,    0.053090
   1.785001,    0.042682
   1.883812,    0.027657
   1.976106,    0.003195
   2.057014,   -0.038212
   2.123080,   -0.122327
   2.172247,   -0.322774
   2.203854,   -0.948293
   2.218627, -492.873938
   2.218666, -489.942611
   2.207442,    3.908653
   2.189783,    3.427797
   2.171778,    4.258457
