CD, CL
   0.021275,   -0.968118
   0.019609,   -0.943150
   0.018036,   -0.918018
   0.016557,   -0.892718
   0.015177,   -0.867239
   0.013896,   -0.841572
   0.012715,   -0.815729
   0.011640,   -0.789707
   0.010670,   -0.763504
   0.009807,   -0.737111
   0.009055,   -0.710511
   0.008423,   -0.683722
   0.007902,   -0.656740
   0.007495,   -0.629563
   0.007219,   -0.602187
   0.007068,   -0.574585
   0.007038,   -0.546781
   0.007135,   -0.518772
   0.007375,   -0.490556
   0.007746,   -0.462131
   0.008251,   -0.433466
   0.008902,   -0.404586
   0.009701,   -0.375491
   0.010643,   -0.346178
   0.011738,   -0.316629
   0.013095,   -0.284510
   0.015319,   -0.238796
   0.017892,   -0.193090
   0.020808,   -0.147395
   0.024074,   -0.101714
