CD, CL
   0.020135,   -0.128975
   0.018469,   -0.104007
   0.016896,   -0.078874
   0.015417,   -0.053574
   0.014037,   -0.028096
   0.012756,   -0.002428
   0.011575,    0.023415
   0.010500,    0.049436
   0.009530,    0.075639
   0.008667,    0.102032
   0.007915,    0.128632
   0.007283,    0.155422
   0.006762,    0.182404
   0.006355,    0.209581
   0.006079,    0.236957
   0.005928,    0.264559
   0.005898,    0.292363
   0.005995,    0.320372
   0.006235,    0.348588
   0.006606,    0.377013
   0.007111,    0.405678
   0.007762,    0.434558
   0.008561,    0.463653
   0.009503,    0.492965
   0.010598,    0.522514
   0.011955,    0.554634
   0.014179,    0.600348
   0.016752,    0.646054
   0.019668,    0.691749
   0.022934,    0.737430
