Ground Distance, 
   0.000000,  133.008700
 770.712620,  133.008700
 811.483735,  131.303460
 852.254851,  129.598220
 893.025967,  127.892980
 933.797082,  126.187741
 974.568198,  124.482501
1015.339314,  122.777261
1056.110430,  121.072021
1096.881545,  119.366782
1137.652661,  117.661542
1140.467782,  117.637902
1168.587910,  117.401844
1365.345203,  115.754242
1404.364394,  115.428342
1443.273774,  115.103632
1482.073745,  114.780103
1520.764702,  114.457748
1528.489847,  114.393417
1529.202752,  114.387481
1529.236604,  114.387199
1529.266072,  114.386953
1529.271621,  114.386907
1529.274775,  114.386853
1529.277660,  114.386801
1529.306514,  114.386284
1529.595047,  114.381108
1532.479651,  114.329336
1561.253724,  113.809937
1750.363240,  110.255828
1933.357992,  106.564021
2110.005115,  102.734060
2280.071416,   98.766019
2443.324302,   94.660541
2599.532771,   90.418874
2748.468465,   86.042906
2889.906768,   81.535191
3023.627955,   76.898974
3149.418374,   72.138207
3267.071650,   67.257562
3376.389902,   62.262432
3477.184959,   57.158930
3569.279563,   51.953869
3652.508533,   46.654747
3726.719897,   41.269709
3791.775955,   35.807513
3847.554266,   30.277475
3893.948547,   24.689417
3930.869472,   19.053597
3958.245344,   13.380638
3976.022656,    7.681451
3984.166498,    1.967154
3984.737572,   -0.000000
