Ground distance, Load Factor
   0.000000,    0.000000
   0.473227,    0.000615
   1.888194,    0.002441
   4.237807,    0.005452
   7.514938,    0.009618
  11.712427,    0.014914
  16.823087,    0.021311
  22.839699,    0.028782
  29.755021,    0.037301
  37.561785,    0.046839
  46.252697,    0.057371
  55.820445,    0.068869
  66.257696,    0.081306
  77.557098,    0.094656
  89.711284,    0.108893
 102.712869,    0.123990
 116.554457,    0.139921
 131.228642,    0.156662
 146.728004,    0.174185
 163.045116,    0.192466
 180.172549,    0.211479
 198.102861,    0.231201
 216.828616,    0.251605
 236.342379,    0.272669
 256.636717,    0.294368
 277.704207,    0.316678
 299.537441,    0.339577
 322.129025,    0.363041
 345.471582,    0.387049
 369.557754,    0.411578
 394.380214,    0.436607
 419.931658,    0.462115
 446.204803,    0.488081
 473.192391,    0.514483
 500.887195,    0.541303
 529.282007,    0.568518
 556.222784,    0.594083
 585.946984,    0.715523
 616.355510,    0.852090
 647.446876,    0.979890
 654.254791,    1.008599
 686.170078,    1.149367
 694.037340,    1.181110
 726.751558,    1.224326
 760.025389,    1.235072
 793.735013,    1.236337
 827.775147,    1.231273
 862.079069,    1.222040
 883.055682,    1.214777
 917.689834,    1.200946
 952.484440,    1.184266
 987.411505,    1.165404
1022.447358,    1.144741
1057.572695,    1.122410
1092.772337,    1.098825
1128.035125,    1.074131
1163.354201,    1.048766
1198.726911,    1.022698
1230.285250,    0.999390
1265.764496,    1.002053
1301.301994,    1.004705
1336.896725,    1.007321
1372.547278,    1.009879
1408.251859,    1.012357
1444.008316,    1.014734
1479.814160,    1.016990
1515.666589,    1.019106
1551.562522,    1.021066
1587.498619,    1.022852
1623.471322,    1.024452
1659.476884,    1.025852
1695.511404,    1.027043
1731.570864,    1.028016
1735.507567,    1.028108
1771.589729,    1.028805
1807.687180,    1.029217
1843.794840,    1.029345
1879.907697,    1.029190
1882.257028,    1.029170
1918.370790,    1.015323
1954.484443,    1.007291
1990.598016,    1.002162
2026.711518,    0.999971
2062.824993,    0.999247
2098.938376,    0.998509
2135.051662,    0.997766
2171.164966,    0.997022
2207.278320,    0.997761
2243.391677,    0.997017
2279.505101,    0.997756
2315.618537,    0.997013
2351.732036,    0.997750
2387.845548,    0.997009
2423.959123,    0.997745
2429.012968,    0.997641
2465.126444,    0.970081
2501.239790,    0.955586
2537.353015,    0.948359
2573.466150,    0.944041
2609.579219,    0.942652
2645.692180,    0.941276
2681.805169,    0.941379
2717.918234,    0.941506
2754.031401,    0.969410
2790.144700,    0.983026
2826.258091,    0.989511
2862.371564,    0.993800
2898.485109,    0.995394
2934.598715,    0.997644
2970.712370,    0.997015
3006.826073,    0.997833
3042.939831,    0.998654
3079.053602,    0.998033
3115.167440,    0.998855
3151.281291,    0.998235
3187.395172,    0.997619
3223.509116,    0.998438
3259.623046,    0.997821
3295.737071,    0.998641
3331.851069,    0.998023
3367.965149,    0.998842
3404.079217,    0.998225
3440.193320,    0.997611
3476.307476,    0.998426
3512.421620,    0.997812
3548.535854,    0.998627
3584.650058,    0.998012
3620.764344,    0.998827
3656.878619,    0.998213
3692.992934,    0.997601
3729.107299,    0.998413
3765.221657,    0.997801
3801.336103,    0.998613
3837.450519,    0.998000
3873.565022,    0.998812
3909.679510,    0.998200
3945.794046,    0.998540
3981.908621,    0.998398
4018.023194,    0.997789
4054.137862,    0.998597
4090.252511,    0.997988
4126.367254,    0.998796
4162.481987,    0.998187
4198.596780,    0.998993
4234.711609,    0.998385
4270.826444,    0.997778
4306.941359,    0.998582
4343.056241,    0.997974
4379.171213,    0.998778
4415.286181,    0.998170
4451.401209,    0.998973
4487.516269,    0.998367
4523.631336,    0.997762
4559.746494,    0.998563
4595.861635,    0.997958
4631.976873,    0.998758
4668.092102,    0.998154
4704.207400,    0.998953
4740.322728,    0.998349
4776.438073,    0.997747
4812.553495,    0.998544
4848.668893,    0.997942
4884.784381,    0.998738
4920.899846,    0.998136
4957.015379,    0.998932
4993.130934,    0.998330
5029.246509,    0.997730
5065.362153,    0.998523
5101.477773,    0.997923
5137.593492,    0.998716
5173.709201,    0.998116
5209.824989,    0.998909
5245.940784,    0.998310
5282.056607,    0.997713
5318.172506,    0.998503
5354.288396,    0.997905
5390.404381,    0.998696
5426.520345,    0.998098
5462.636393,    0.998888
5498.752445,    0.998290
5534.868535,    0.997696
5570.984693,    0.998483
5607.100846,    0.997888
5643.217095,    0.998675
5679.333325,    0.998079
5715.449640,    0.998866
5751.565950,    0.998271
5787.682303,    0.997679
5823.798706,    0.998462
5859.915105,    0.997869
5896.031602,    0.998652
5932.148085,    0.998060
5968.264664,    0.998843
6004.381242,    0.998251
6040.497879,    0.997661
6076.614694,    0.997060
6112.731651,    0.996452
6148.848770,    0.997211
6184.965906,    0.996593
6221.082956,    0.995972
6257.200026,    0.995355
6293.317176,    0.996103
6329.434325,    0.995487
6365.551568,    0.996236
6401.668802,    0.995621
6437.786133,    0.996371
6473.903452,    0.995757
6510.020847,    0.996507
6546.138241,    0.995894
6582.255662,    0.995285
6618.373124,    0.996031
6654.490571,    0.995423
6690.608091,    0.996171
6726.725577,    0.995563
6762.843153,    0.996313
6798.960710,    0.995707
6835.078343,    0.996457
6871.195958,    0.995852
6907.313622,    0.996603
6943.431309,    0.996000
6979.549009,    0.995402
7015.666764,    0.996150
7051.784497,    0.995552
7087.902309,    0.996302
7124.020083,    0.995705
7160.137942,    0.996457
7196.255788,    0.995862
7232.373701,    0.996614
7268.491619,    0.996020
7304.609565,    0.995431
7340.727566,    0.996181
7376.845558,    0.995592
7412.963632,    0.996344
7449.081677,    0.995756
7485.199805,    0.996509
7521.317904,    0.995922
7557.436067,    0.996676
7593.554242,    0.996091
7629.672443,    0.995510
7665.790703,    0.996262
7701.908950,    0.995682
7738.027285,    0.996435
7774.145591,    0.995856
7810.263983,    0.996610
7846.382356,    0.996033
7882.500786,    0.996788
7918.619234,    0.996211
7954.737689,    0.995639
7990.856216,    0.996392
8000.000000,    0.996246
