eta, Cl
   0.000000,    1.382955
   0.020408,    1.392380
   0.040816,    1.411150
   0.061224,    1.430320
   0.081633,    1.449667
   0.102041,    1.469061
   0.122449,    1.488417
   0.142857,    1.507678
   0.163265,    1.526801
   0.183673,    1.545753
   0.204082,    1.564510
   0.224490,    1.583048
   0.244898,    1.601349
   0.265306,    1.619394
   0.285714,    1.637165
   0.306122,    1.654642
   0.326531,    1.671805
   0.346939,    1.688631
   0.367347,    1.705094
   0.387755,    1.721164
   0.408163,    1.736807
   0.428571,    1.751984
   0.448980,    1.766649
   0.469388,    1.780749
   0.489796,    1.794223
   0.510204,    1.806989
   0.530612,    1.818960
   0.551020,    1.830043
   0.571429,    1.840119
   0.591837,    1.849048
   0.612245,    1.856664
   0.632653,    1.862770
   0.653061,    1.867130
   0.673469,    1.869459
   0.693878,    1.869417
   0.714286,    1.866588
   0.734694,    1.860464
   0.755102,    1.850419
   0.775510,    1.835679
   0.795918,    1.815268
   0.816327,    1.787951
   0.836735,    1.752138
   0.857143,    1.705744
   0.877551,    1.645970
   0.897959,    1.568932
   0.918367,    1.468958
   0.938776,    1.337095
   0.959184,    1.157242
   0.979592,    0.892178
   1.000000,    0.000000
