Ground Roll Distance, Acceleration
1140.467782, -10130.587381
1168.587910, -10103.902526
1365.345203, -9919.144118
1404.364394, -9882.907845
1443.273774, -9846.905371
1482.073745, -9811.134734
1520.764702, -9775.593995
1528.489847, -9768.513266
1529.202752, -9767.860089
1529.236604, -9767.829074
1529.266072, -9767.802076
1529.271621, -9767.796992
1529.274775, -21040.600525
1529.277660, -21040.612928
1529.306514, -21040.736964
1529.595047, -21041.977332
1532.479651, -21054.381947
1561.253724, -21178.519575
1750.363240, -22012.792589
1933.357992, -22851.363883
2110.005115, -23691.136240
2280.071416, -24528.768427
2443.324302, -25360.688919
2599.532771, -26183.114508
2748.468465, -26992.073966
2889.906768, -27783.436869
3023.627955, -28552.947486
3149.418374, -29296.263580
3267.071650, -30008.999729
3376.389902, -30686.774685
3477.184959, -31325.262067
3569.279563, -31920.243580
3652.508533, -32467.663756
3726.719897, -32963.685147
3791.775955, -33404.742752
3847.554266, -33787.596455
3893.948547, -34109.380176
3930.869472, -34367.646532
3958.245344, -34560.405806
3976.022656, -34686.158204
3984.166498, -34743.918490
3984.737572, -34747.972441
