Ground Roll distance, Vertical Forces
1187.172332, 110677.144337
1218.189901, 110209.323553
1438.285427, 106932.707106
1481.908077, 106292.137636
1525.399971, 105656.372541
1568.761700, 105025.364357
1611.993848, 104399.066203
1620.624779, 104274.367691
1621.315031, 104264.399858
1621.597232, 104260.324830
1621.735209, 104258.332468
1621.884989, 104256.169709
1621.954482, 104255.166276
1621.982936, 104254.755417
1621.986448, 104254.699449
1621.989914, 104254.599674
1622.024573, 104253.601929
1622.371149, 104243.624479
1625.836006, 104143.849849
1660.393175, 103146.104617
1871.671123, 96940.818423
2076.299612, 90754.806289
2274.087080, 84606.241103
2464.843126, 78514.162880
2648.379101, 72498.397445
2824.508723, 66579.460611
2993.048709, 60778.447947
3153.819431, 55116.910472
3306.645580, 49616.716910
3451.356847, 44299.903450
3587.788604, 39188.512251
3715.782582, 34304.420264
3835.187555, 29669.160238
3945.860001, 25303.736052
4047.664755, 21228.434784
4140.475637, 17462.638136
4224.176049, 14024.636000
4298.659545, 10931.445069
4363.830354, 8198.635439
4419.603865, 5840.168128
4465.907057, 3868.246331
4502.678875, 2293.183101
4529.870556, 1123.287853
4547.445878,  364.773830
4555.381357,   21.688283
4555.882708,    0.000000
