Time, Powers
   0.000000,    0.024490
   0.001667,   24.447737
   0.003333,   48.701271
   0.005000,   72.885288
   0.006667,   97.017272
   0.008333,  121.097223
   0.010000,  145.125143
   0.011667,  169.101030
   0.013333,  193.024885
   0.015000,  216.896707
   0.016667,  240.716498
   0.018333,  264.484256
   0.020000,  287.945668
   0.021667,  311.324474
   0.023333,  334.652497
   0.025000,  357.929737
   0.026667,  381.156194
   0.028333,  404.331867
   0.030000,  427.456757
   0.031667,  450.530864
   0.033333,  473.554187
   0.035000,  496.526727
   0.036667,  519.192112
   0.038333,  541.775903
   0.040000,  564.310182
   0.041667,  586.794950
   0.043333,  609.230205
   0.045000,  631.615948
   0.046667,  653.952179
   0.048333,  676.238898
   0.050000,  698.476104
   0.051667,  720.663799
   0.053333,  742.544295
   0.055000,  764.344323
   0.056667,  786.096127
   0.058333,  807.799709
   0.060000,  829.455069
   0.061667,  851.062206
   0.063333,  872.621120
   0.065000,  894.131812
   0.066667,  915.594281
   0.068333,  937.008527
   0.070000,  958.116258
   0.071667,  979.144748
   0.073333, 1000.126318
   0.075000, 1021.060971
   0.076667, 1041.948705
   0.078333, 1062.789520
   0.080000, 1083.583416
   0.081667, 1104.330394
   0.083333, 1125.030454
   0.085000, 1145.683595
   0.086667, 1165.597425
   0.088333, 1185.363454
   0.090000, 1205.067285
   0.091667, 1224.708919
   0.093333, 1244.288355
   0.095000, 1263.805595
   0.096667, 1283.260636
   0.098333, 1302.653481
   0.100000, 1321.984128
   0.101667, 1341.252577
   0.103333, 1360.002467
   0.105000, 1378.631610
   0.106667, 1397.196896
   0.108333, 1415.698324
   0.110000, 1434.135894
   0.111667, 1452.509607
   0.113333, 1470.819462
   0.115000, 1489.065460
   0.116667, 1507.247600
   0.118333, 1525.365883
   0.120000, 1543.094419
   0.121667, 1560.720836
   0.123333, 1578.285966
   0.125000, 1595.789811
   0.126667, 1613.232368
   0.128333, 1630.613640
   0.130000, 1647.933625
   0.131667, 1665.192324
   0.133333, 1682.389736
   0.135000, 1699.525862
   0.136667, 1716.285407
   0.138333, 1732.946682
   0.140000, 1749.549195
   0.141667, 1766.092945
   0.143333, 1782.577932
   0.145000, 1799.004158
   0.146667, 1815.371620
   0.148333, 1831.680321
   0.150000, 1847.930259
   0.151667, 1864.121434
   0.153333, 1879.949401
   0.155000, 1895.682927
   0.156667, 1911.360164
   0.158333, 1926.981111
   0.160000, 1942.545768
   0.161667, 1958.054136
   0.163333, 1973.506214
   0.165000, 1988.902002
   0.166667, 2004.241500
   0.168333, 2019.524709
   0.170000, 2034.458218
   0.171667, 2049.301086
   0.173333, 2064.090083
   0.175000, 2078.825207
   0.176667, 2093.506461
   0.178333, 2108.133842
   0.180000, 2122.707352
   0.181667, 2137.226990
   0.183333, 2151.692757
   0.185000, 2166.104652
   0.186667, 2178.984501
   0.188333, 2191.609076
   0.190000, 2204.161950
   0.191667, 2216.643122
   0.193333, 2229.052594
   0.195000, 2241.390365
   0.196667, 2253.656435
   0.198333, 2265.850803
   0.200000, 2277.973471
   0.201667, 2290.024438
   0.203333, 2301.631714
   0.205000, 2313.123887
   0.206667, 2324.547585
   0.208333, 2335.902808
   0.210000, 2347.189554
   0.211667, 2358.407825
   0.213333, 2369.557620
   0.215000, 2380.638939
   0.216667, 2391.651783
   0.218333, 2402.596151
   0.220000, 2413.183595
   0.221667, 2423.670361
   0.223333, 2434.092688
   0.225000, 2444.450576
   0.226667, 2454.744025
   0.228333, 2464.973036
   0.230000, 2475.137608
   0.231667, 2485.237740
   0.233333, 2495.273435
   0.235000, 2505.244690
   0.236667, 2514.885282
