eta, Cm
   0.000000,    0.159020
   0.020408,    0.150923
   0.040816,    0.144406
   0.061224,    0.137138
   0.081633,    0.129084
   0.102041,    0.120222
   0.122449,    0.110533
   0.142857,    0.099999
   0.163265,    0.088603
   0.183673,    0.076325
   0.204082,    0.063146
   0.224490,    0.049041
   0.244898,    0.033985
   0.265306,    0.017948
   0.285714,    0.000871
   0.306122,   -0.017896
   0.326531,   -0.039049
   0.346939,   -0.061171
   0.367347,   -0.084223
   0.387755,   -0.108218
   0.408163,   -0.133173
   0.428571,   -0.159107
   0.448980,   -0.186040
   0.469388,   -0.213993
   0.489796,   -0.242989
   0.510204,   -0.273051
   0.530612,   -0.304199
   0.551020,   -0.336456
   0.571429,   -0.369842
   0.591837,   -0.404371
   0.612245,   -0.440054
   0.632653,   -0.476892
   0.653061,   -0.514874
   0.673469,   -0.553974
   0.693878,   -0.594139
   0.714286,   -0.635283
   0.734694,   -0.677272
   0.755102,   -0.719907
   0.775510,   -0.762891
   0.795918,   -0.805789
   0.816327,   -0.847966
   0.836735,   -0.888489
   0.857143,   -0.925971
   0.877551,   -0.958321
   0.897959,   -0.982296
   0.918367,   -0.992691
   0.938776,   -0.980665
   0.959184,   -0.929726
   0.979592,   -0.802452
   1.000000,    0.000000
