eta, Cm
   0.000000,   -0.020108
   0.020408,   -0.023605
   0.040816,   -0.026428
   0.061224,   -0.029581
   0.081633,   -0.033079
   0.102041,   -0.036931
   0.122449,   -0.041145
   0.142857,   -0.045728
   0.163265,   -0.050688
   0.183673,   -0.056031
   0.204082,   -0.061767
   0.224490,   -0.067903
   0.244898,   -0.074451
   0.265306,   -0.081421
   0.285714,   -0.088837
   0.306122,   -0.096931
   0.326531,   -0.105933
   0.346939,   -0.115322
   0.367347,   -0.125067
   0.387755,   -0.135161
   0.408163,   -0.145601
   0.428571,   -0.156386
   0.448980,   -0.167514
   0.469388,   -0.178986
   0.489796,   -0.190801
   0.510204,   -0.202959
   0.530612,   -0.215460
   0.551020,   -0.228304
   0.571429,   -0.241490
   0.591837,   -0.255013
   0.612245,   -0.268869
   0.632653,   -0.283048
   0.653061,   -0.297536
   0.673469,   -0.312313
   0.693878,   -0.327349
   0.714286,   -0.342601
   0.734694,   -0.358009
   0.755102,   -0.373486
   0.775510,   -0.388911
   0.795918,   -0.404114
   0.816327,   -0.418850
   0.836735,   -0.432765
   0.857143,   -0.445345
   0.877551,   -0.455816
   0.897959,   -0.462995
   0.918367,   -0.464986
   0.938776,   -0.458587
   0.959184,   -0.437825
   0.979592,   -0.389144
   1.000000,    0.000000
