eta, Cm
   0.000000,   -0.064889
   0.020408,   -0.067237
   0.040816,   -0.069136
   0.061224,   -0.071260
   0.081633,   -0.073619
   0.102041,   -0.076219
   0.122449,   -0.079064
   0.142857,   -0.082160
   0.163265,   -0.085511
   0.183673,   -0.089120
   0.204082,   -0.092995
   0.224490,   -0.097139
   0.244898,   -0.101560
   0.265306,   -0.106263
   0.285714,   -0.111264
   0.306122,   -0.116690
   0.326531,   -0.122654
   0.346939,   -0.128860
   0.367347,   -0.135278
   0.387755,   -0.141897
   0.408163,   -0.148708
   0.428571,   -0.155706
   0.448980,   -0.162883
   0.469388,   -0.170234
   0.489796,   -0.177754
   0.510204,   -0.185436
   0.530612,   -0.193276
   0.551020,   -0.201266
   0.571429,   -0.209401
   0.591837,   -0.217673
   0.612245,   -0.226072
   0.632653,   -0.234586
   0.653061,   -0.243201
   0.673469,   -0.251898
   0.693878,   -0.260652
   0.714286,   -0.269431
   0.734694,   -0.278193
   0.755102,   -0.286880
   0.775510,   -0.295416
   0.795918,   -0.303696
   0.816327,   -0.311571
   0.836735,   -0.318835
   0.857143,   -0.325188
   0.877551,   -0.330190
   0.897959,   -0.333170
   0.918367,   -0.333060
   0.938776,   -0.328067
   0.959184,   -0.314850
   0.979592,   -0.285817
   1.000000,    0.000000
