V/VsTO, Thrust - Yawing Moment
   0.317016, 15936.542727
   0.320281, 16266.499536
   0.323546, 16599.837216
   0.326811, 16936.555767
   0.330076, 17276.655191
   0.333341, 17620.135486
   0.336606, 17966.996652
   0.339871, 18317.238690
   0.343136, 18670.861600
   0.346401, 19027.865382
   0.349666, 19388.250035
   0.352931, 19752.015560
   0.356196, 20119.161957
   0.359461, 20489.689225
   0.362726, 20863.597365
   0.365991, 21240.886376
   0.369256, 21621.556260
   0.372521, 22005.607015
   0.375786, 22393.038641
   0.379051, 22783.851139
   0.382316, 23178.044509
   0.385581, 23575.618751
   0.388846, 23976.573864
   0.392111, 24380.909849
   0.395376, 24788.626705
   0.398641, 25199.724433
   0.401906, 25614.203033
   0.405171, 26032.062505
   0.408436, 26453.302848
   0.411701, 26877.924063
   0.414966, 27305.926149
   0.418230, 27737.309107
   0.421495, 28172.072937
   0.424760, 28610.217638
   0.428025, 29051.743211
   0.431290, 29496.649656
   0.434555, 29944.936973
   0.437820, 30396.605161
   0.441085, 30851.654220
   0.444350, 31310.084152
   0.447615, 31771.894955
   0.450880, 32237.086630
   0.454145, 32705.659176
   0.457410, 33177.612594
   0.460675, 33652.946884
   0.463940, 34131.662045
   0.467205, 34613.758078
   0.470470, 35099.234983
   0.473735, 35588.092759
   0.477000, 36080.331407
   0.480265, 36575.950927
   0.483530, 37074.951318
   0.486795, 37577.332581
   0.490060, 38083.094715
   0.493325, 38592.237722
   0.496590, 39104.761600
   0.499855, 39620.666349
   0.503120, 40139.951971
   0.506385, 40662.618463
   0.509650, 41188.665828
   0.512915, 41718.094064
   0.516180, 42250.903172
   0.519445, 42787.093152
   0.522710, 43326.664003
   0.525975, 43869.615726
   0.529240, 44415.948320
   0.532505, 44965.661787
   0.535770, 45518.756124
   0.539035, 46075.231334
   0.542300, 46635.087415
   0.545565, 47198.324368
   0.548830, 47764.942192
   0.552095, 48334.940889
   0.555360, 48908.320456
   0.558625, 49485.080896
   0.561890, 50065.222207
   0.565155, 50648.744390
   0.568420, 51235.647444
   0.571685, 51825.931370
   0.574950, 52419.596168
   0.578215, 53016.641838
   0.581480, 53617.068379
   0.584745, 54220.875791
   0.588010, 54828.064076
   0.591275, 55438.633232
   0.594540, 56052.583260
   0.597805, 56669.914159
   0.601070, 57290.625930
   0.604335, 57914.718573
   0.607600, 58542.192087
   0.610865, 59173.046473
   0.614130, 59807.281731
   0.617395, 60444.897860
   0.620660, 61085.894861
   0.623925, 61730.272734
   0.627190, 62378.031478
   0.630455, 63029.171094
   0.633720, 63683.691582
   0.636985, 64341.592941
   0.640250, 65002.875172
   0.643515, 65667.538275
   0.646780, 66335.582249
   0.650045, 67007.007095
   0.653310, 67681.812812
   0.656575, 68359.999402
   0.659840, 69041.566863
   0.663105, 69726.515195
   0.666370, 70414.844399
   0.669635, 71106.554475
   0.672900, 71801.645423
   0.676165, 72500.117242
   0.679430, 73201.969933
   0.682695, 73907.203495
   0.685960, 74615.817930
   0.689225, 75327.813236
   0.692490, 76043.189413
   0.695755, 76761.946462
   0.699020, 77484.084383
   0.702285, 78209.603176
   0.705550, 78938.502840
   0.708815, 79670.783375
   0.712080, 80406.444783
   0.715345, 81145.487062
   0.718610, 81887.910213
   0.721875, 82633.714235
   0.725140, 83382.899129
   0.728405, 84135.464895
   0.731670, 84891.411533
   0.734935, 85650.739042
   0.738200, 86413.447422
   0.741465, 87179.536675
   0.744730, 87949.006799
   0.747995, 88721.857795
   0.751260, 89498.089662
   0.754525, 90277.702401
   0.757790, 91060.696012
   0.761055, 91847.070494
   0.764320, 92636.825848
   0.767585, 93429.962074
   0.770850, 94226.479171
   0.774115, 95026.377140
   0.777380, 95829.655981
   0.780645, 96636.315693
   0.783910, 97446.356277
   0.787175, 98259.777733
   0.790440, 99076.580060
   0.793705, 99896.763259
   0.796970, 100720.327330
   0.800235, 101547.272272
   0.803500, 102377.598086
   0.806765, 103211.304771
   0.810030, 104048.392329
   0.813295, 104888.860758
   0.816560, 105732.710058
   0.819825, 106579.940230
   0.823090, 107430.551274
   0.826355, 108284.543190
   0.829620, 109141.915977
   0.832885, 110002.669636
   0.836150, 110866.804166
   0.839415, 111734.319569
   0.842680, 112605.215842
   0.845945, 113479.492988
   0.849210, 114357.151005
   0.852475, 115238.189894
   0.855740, 116122.609654
   0.859005, 117010.410287
   0.862270, 117901.591790
   0.865535, 118796.154166
   0.868800, 119694.097413
   0.872065, 120595.421532
   0.875330, 121500.126522
   0.878595, 122408.212384
   0.881860, 123319.679118
   0.885125, 124234.526723
   0.888390, 125152.755201
   0.891655, 126074.364549
   0.894920, 126999.354770
   0.898185, 127927.725862
   0.901450, 128859.477825
   0.904715, 129794.610661
   0.907980, 130733.124368
   0.911245, 131675.018947
   0.914510, 132620.294397
   0.917775, 133568.950719
   0.921040, 134520.987913
   0.924305, 135476.405978
   0.927570, 136435.204915
   0.930835, 137397.384724
   0.934100, 138362.945404
   0.937365, 139331.886956
   0.940630, 140304.209380
   0.943895, 141279.912675
   0.947160, 142258.996842
   0.950425, 143241.461880
   0.953690, 144227.307791
   0.956955, 145216.534573
   0.960220, 146209.142226
   0.963485, 147205.130751
   0.966750, 148204.500148
   0.970015, 149207.250417
   0.973280, 150213.381557
   0.976545, 151222.893569
   0.979810, 152235.786453
   0.983075, 153252.060208
   0.986340, 154271.714835
   0.989605, 155294.750333
   0.992870, 156321.166703
   0.996135, 157350.963945
   0.999400, 158384.142059
   1.002665, 159420.701044
   1.005930, 160460.640901
   1.009195, 161503.961629
   1.012460, 162550.663229
   1.015725, 163600.745701
   1.018990, 164654.209045
   1.022255, 165711.053260
   1.025520, 166771.278346
   1.028785, 167834.884305
   1.032050, 168901.871135
   1.035315, 169972.238837
   1.038580, 171045.987410
   1.041845, 172123.116855
   1.045110, 173203.627172
   1.048375, 174287.518360
   1.051640, 175374.790420
   1.054905, 176465.443352
   1.058170, 177559.477155
   1.061435, 178656.891831
   1.064700, 179757.687377
   1.067965, 180861.863796
   1.071230, 181969.421086
   1.074495, 183080.359247
