Speed (CAS), Rate of Climb
  66.920039,    2.961110
  67.817226,    3.012669
  68.714414,    3.059535
  69.611601,    3.102069
  70.508788,    3.141389
  71.405976,    3.176021
  72.303163,    3.205991
  73.200350,    3.231924
  74.097538,    3.255193
  74.994725,    3.274065
  75.891912,    3.288045
  76.789099,    3.297957
  77.686287,    3.305832
  78.583474,    3.309680
  79.480661,    3.309257
  80.377849,    3.304305
  81.275036,    3.297951
  82.172223,    3.287870
  83.069411,    3.271957
  83.966598,    3.253850
  84.863785,    3.232908
  85.760973,    3.207535
  86.658160,    3.178765
  87.555347,    3.145224
  88.452535,    3.110713
  89.349722,    3.069971
  90.246909,    3.027008
  91.144097,    2.978570
  92.041284,    2.928789
  92.938471,    2.873520
  93.835658,    2.814716
  94.732846,    2.752498
  95.630033,    2.685813
  96.527220,    2.616981
  97.424408,    2.541262
  98.321595,    2.463113
  99.218782,    2.381893
 100.115970,    2.294297
 101.013157,    2.204220
 101.910344,    2.109930
 102.807532,    2.009794
 103.704719,    1.907002
 104.601906,    1.800367
 105.499094,    1.686828
 106.396281,    1.570323
 107.293468,    1.450964
 108.190656,    1.324445
 109.087843,    1.193834
 109.985030,    1.060053
 110.882218,    0.922728
 111.779405,    0.777576
 112.676592,    0.629064
 113.573779,    0.477206
 114.470967,    0.322089
 115.368154,    0.158534
 116.265341,   -0.008623
 117.162529,   -0.179300
 118.059716,   -0.353436
 118.956903,   -0.533313
 119.854091,   -0.719797
 120.751278,   -0.909975
 121.648465,   -1.103810
 122.545653,   -1.301322
 123.442840,   -1.504419
 124.340027,   -1.714714
 125.237215,   -1.928860
 126.134402,   -2.146879
 127.031589,   -2.368831
 127.928777,   -2.594714
 128.825964,   -2.827746
 129.723151,   -3.066806
 130.620338,   -3.309953
 131.517526,   -3.557208
 132.414713,   -3.808592
 133.311900,   -4.064126
 134.209088,   -4.324253
 135.106275,   -4.593319
 136.003462,   -4.866703
 136.900650,   -5.144428
 137.797837,   -5.426422
 138.695024,   -5.712774
 139.592212,   -6.003530
 140.489399,   -6.298712
 141.386586,   -6.601109
 142.283774,   -6.910294
 143.180961,   -7.224070
 144.078148,   -7.542459
 144.975336,   -7.865272
 145.872523,   -8.192701
 146.769710,   -8.524807
 147.666897,   -8.861614
 148.564085,   -9.202862
 149.461272,   -9.552706
 150.358459,   -9.908700
 151.255647,  -10.269576
 152.152834,  -10.634998
 153.050021,  -11.005306
 153.947209,  -11.380560
 154.844396,  -11.760784
 155.741583,  -12.145557
