Time, Vertical Forces
   0.000000, 148999.419574
   0.500000, 148999.419574
   1.000000, 148999.419574
   1.500000, 148999.419574
   2.000000, 148999.419574
   2.500000, 148999.419574
   3.000000, 148999.419574
   3.500000, 148999.419574
   4.000000, 148999.419574
   4.500000, 148999.419574
   5.000000, 148999.419574
   5.500000, 148999.419574
   6.000000, 148999.419574
   6.500000, 148999.419574
   7.000000, 148999.419574
   7.500000, 148999.419574
   8.000000, 148999.419574
   8.500000, 148999.419574
   9.000000, 148999.419574
   9.500000, 148999.419574
  10.000000, 148999.419574
  10.500000, 148999.419574
  11.000000, 148999.419574
  11.500000, 148999.419574
  12.000000, 148999.419574
  12.500000, 148999.419574
  13.000000, 148999.419574
  13.500000, 148999.419574
  14.000000, 148999.419574
  14.500000, 148999.419574
  15.000000, 148999.419574
  15.500000, 148999.419574
  16.000000, 148999.419574
  16.500000, 148999.419574
  17.000000, 148999.419574
  17.500000, 148999.419574
  18.000000, 148999.419574
  18.500000, 148999.419574
  19.000000, 148999.419574
  19.500000, 148999.419574
  20.000000, 148999.419574
  20.500000, 148999.419574
  21.000000, 148999.419574
  21.500000, 148999.419574
  22.000000, 148999.419574
  22.500000, 148999.419574
  23.000000, 148999.419574
  23.500000, 148999.419574
  24.000000, 148999.419574
  24.500000, 148999.419574
  25.000000, 148999.419574
  25.500000, 148999.419574
  26.000000, 148999.419574
  26.500000, 148999.419574
  27.000000, 148999.419574
  27.500000, 148999.419574
  28.000000, 148999.419574
  28.388923, 148999.419574
  28.888923, 148999.419574
  29.388923, 148999.419574
  29.888923, 148999.419574
  30.388923, 148999.419574
  30.888923, 148999.419574
  31.388923, 148999.419574
  31.888923, 148999.419574
  32.111100, 148999.419574
  32.611100, 148861.951455
  32.958167, 148802.912379
  33.458167, 148651.380718
  33.958167, 148413.056125
  34.458167, 148085.890854
  34.674151, 147918.533538
  35.174151, 147451.782633
  35.674151, 146893.376140
  35.740661, 146812.270839
  36.240661, 146545.027171
  36.740661, 146439.223055
  37.240661, 146401.584972
  37.740661, 146390.780289
  38.240661, 146388.493406
  38.363141, 146387.933201
  38.863141, 146388.644263
  39.363141, 146389.962520
  39.863141, 146391.818463
  40.363141, 146393.606587
  40.863141, 146395.334378
  41.363141, 146396.705608
  41.863141, 146397.760780
  42.363141, 146398.942545
  42.863141, 146400.236275
  43.363141, 146401.601137
  43.863141, 146403.028797
  44.363141, 146404.157829
  44.863141, 146405.022115
  45.363141, 146406.067443
  45.863141, 146407.273001
  46.363141, 146409.289982
  46.674151, 146410.991764
  47.174151, 146410.783099
  47.674151, 146411.277580
  48.174151, 146412.002087
  48.674151, 146414.014819
  49.174151, 146415.761396
  49.674151, 146417.172404
  50.174151, 146418.501183
  50.674151, 146419.814691
  51.174151, 146420.658181
  51.674151, 146421.422000
  52.174151, 146422.578740
  52.674151, 146423.799824
  53.174151, 146425.129837
  53.674151, 146426.476533
  54.174151, 146427.750135
  54.674151, 146429.012232
  55.174151, 146429.988215
  55.674151, 146430.923910
  55.850803, 146430.992654
  56.350803, 146432.352855
  56.850803, 146528.360914
  57.350803, 146881.006411
  57.850803, 147208.075985
  58.350803, 147513.320057
  58.850803, 147789.250064
  59.350803, 148038.293427
  59.850803, 148253.738112
  60.350803, 148437.034047
  60.850803, 148537.324332
  61.350803, 148560.275287
  61.850803, 148566.901796
  62.350803, 148568.686765
  62.850803, 148568.909051
  63.350803, 148568.593156
  63.850803, 148568.020699
  64.350803, 148567.404447
  64.850803, 148566.737136
