V (EAS), 
 137.888729,    0.000000
 137.888729,    1.000000
 146.792340,    1.133311
 155.695950,    1.274961
 164.599561,    1.424950
 173.503171,    1.583278
 182.406782,    1.749945
 191.310392,    1.924950
 200.214003,    2.108295
 209.117614,    2.299978
 218.021224,    2.500000
 353.659326,    2.500000
 442.074157,    2.500000
 442.074157,    0.000000
 353.659326,   -1.000000
 174.961183,   -1.000000
 174.961183,   -1.000000
 174.961183,   -1.000000
 174.961183,   -1.000000
 174.961183,   -1.000000
 174.961183,   -1.000000
 174.961183,   -1.000000
 174.961183,   -1.000000
 174.961183,   -1.000000
 174.961183,   -1.000000
 174.961183,   -1.000000
 174.961183,    0.000000
