alpha body, CM
  -4.000000,   -0.125047
  -3.172414,   -0.112739
  -2.344828,   -0.097456
  -1.517241,   -0.081558
  -0.689655,   -0.065044
   0.137931,   -0.047472
   0.965517,   -0.029767
   1.793103,   -0.011451
   2.620690,    0.007467
   3.448276,    0.026983
   4.275862,    0.047092
   5.103448,    0.067126
   5.931034,    0.086313
   6.758621,    0.105695
   7.586207,    0.125261
   8.413793,    0.144352
   9.241379,    0.157948
  10.068966,    0.160912
  10.896552,    0.151876
  11.724138,    0.133632
  12.551724,    0.113311
  13.379310,    0.102564
  14.206897,    0.117705
  15.034483,    0.179628
  15.862069,    0.314287
