alpha body, CM
  -4.000000,    0.308377
  -3.172414,    0.321674
  -2.344828,    0.337857
  -1.517241,    0.354565
  -0.689655,    0.371800
   0.137931,    0.390001
   0.965517,    0.408246
   1.793103,    0.427011
   2.620690,    0.446288
   3.448276,    0.466073
   4.275862,    0.486359
   5.103448,    0.506481
   5.931034,    0.525664
   6.758621,    0.544953
   7.586207,    0.564334
   8.413793,    0.583149
   9.241379,    0.596380
  10.068966,    0.598888
  10.896552,    0.589305
  11.724138,    0.570424
  12.551724,    0.549377
  13.379310,    0.537812
  14.206897,    0.552047
  15.034483,    0.612974
  15.862069,    0.746547
