alpha body, CM
  -4.000000,   -0.343841
  -3.172414,   -0.332054
  -2.344828,   -0.317246
  -1.517241,   -0.301777
  -0.689655,   -0.285646
   0.137931,   -0.268412
   0.965517,   -0.250999
   1.793103,   -0.232930
   2.620690,   -0.214212
   3.448276,   -0.194849
   4.275862,   -0.174849
   5.103448,   -0.154876
   5.931034,   -0.135706
   6.758621,   -0.116293
   7.586207,   -0.096652
   8.413793,   -0.077439
   9.241379,   -0.063674
  10.068966,   -0.060497
  10.896552,   -0.069273
  11.724138,   -0.087211
  12.551724,   -0.107180
  13.379310,   -0.117531
  14.206897,   -0.101946
  15.034483,   -0.039534
  15.862069,    0.095658
