alpha body, CM
  -4.000000,    0.558462
  -3.172414,    0.572189
  -2.344828,    0.588751
  -1.517241,    0.605791
  -0.689655,    0.623307
   0.137931,    0.641742
   0.965517,    0.660170
   1.793103,    0.679070
   2.620690,    0.698432
   3.448276,    0.718252
   4.275862,    0.738525
   5.103448,    0.758584
   5.931034,    0.777655
   6.758621,    0.796783
   7.586207,    0.815953
   8.413793,    0.834508
   9.241379,    0.847431
  10.068966,    0.849580
  10.896552,    0.839590
  11.724138,    0.820254
  12.551724,    0.798701
  13.379310,    0.786583
  14.206897,    0.800216
  15.034483,    0.860493
  15.862069,    0.993367
