alpha body, CM
  -4.000000,    0.697379
  -3.172414,    0.711354
  -2.344828,    0.728138
  -1.517241,    0.745370
  -0.689655,    0.763052
   0.137931,    0.781624
   0.965517,    0.800162
   1.793103,    0.819143
   2.620690,    0.838559
   3.448276,    0.858405
   4.275862,    0.878676
   5.103448,    0.898705
   5.931034,    0.917717
   6.758621,    0.936758
   7.586207,    0.955814
   8.413793,    0.974228
   9.241379,    0.986980
  10.068966,    0.988931
  10.896552,    0.978716
  11.724138,    0.959125
  12.551724,    0.937292
  13.379310,    0.924865
  14.206897,    0.938161
  15.034483,    0.998074
  15.862069,    1.130556
