alpha body, CM
  -4.000000,    0.484883
  -3.172414,    0.498557
  -2.344828,    0.515080
  -1.517241,    0.532093
  -0.689655,    0.549596
   0.137931,    0.568030
   0.965517,    0.586471
   1.793103,    0.605397
   2.620690,    0.624798
   3.448276,    0.644670
   4.275862,    0.665008
   5.103448,    0.685145
   5.931034,    0.704307
   6.758621,    0.723538
   7.586207,    0.742825
   8.413793,    0.761510
   9.241379,    0.774575
  10.068966,    0.776879
  10.896552,    0.767058
  11.724138,    0.747903
  12.551724,    0.726544
  13.379310,    0.714632
  14.206897,    0.728484
  15.034483,    0.788993
  15.862069,    0.922111
