alpha body, CM
  -4.000000,    0.515458
  -3.172414,    0.529150
  -2.344828,    0.545686
  -1.517241,    0.562706
  -0.689655,    0.580211
   0.137931,    0.598642
   0.965517,    0.617075
   1.793103,    0.635986
   2.620690,    0.655368
   3.448276,    0.675217
   4.275862,    0.695525
   5.103448,    0.715627
   5.931034,    0.734749
   6.758621,    0.753935
   7.586207,    0.773172
   8.413793,    0.791802
   9.241379,    0.804806
  10.068966,    0.807045
  10.896552,    0.797153
  11.724138,    0.777921
  12.551724,    0.756482
  13.379310,    0.744483
  14.206897,    0.758244
  15.034483,    0.818656
  15.862069,    0.951673
