CLh_e, CDh_e
  -0.323651,    0.022266
  -0.303944,    0.020788
  -0.284041,    0.019391
  -0.263933,    0.018073
  -0.243630,    0.016833
  -0.223121,    0.015672
  -0.202415,    0.014589
  -0.181499,    0.013581
  -0.160382,    0.012646
  -0.139055,    0.011786
  -0.117523,    0.011003
  -0.095778,    0.010290
  -0.073824,    0.009648
  -0.044334,    0.009077
  -0.022143,    0.008579
   0.000263,    0.008151
   0.022886,    0.007790
   0.045727,    0.007497
   0.068794,    0.007271
   0.092083,    0.007117
   0.115603,    0.007028
   0.139353,    0.007003
   0.163338,    0.007041
   0.187560,    0.007147
   0.212022,    0.007318
   0.236724,    0.007597
   0.261656,    0.008147
   0.286838,    0.008912
   0.312267,    0.009898
   0.337590,    0.011146
