CLh_e, CDh_e
  -0.218758,    0.022266
  -0.215989,    0.020788
  -0.213049,    0.019391
  -0.209928,    0.018073
  -0.206637,    0.016833
  -0.203164,    0.015672
  -0.199517,    0.014589
  -0.195687,    0.013581
  -0.191679,    0.012646
  -0.187486,    0.011786
  -0.183113,    0.011003
  -0.178553,    0.010290
  -0.173809,    0.009648
  -0.162212,    0.009077
  -0.157265,    0.008579
  -0.152130,    0.008151
  -0.146804,    0.007790
  -0.141287,    0.007497
  -0.135572,    0.007271
  -0.129662,    0.007149
  -0.123550,    0.007090
  -0.117237,    0.007095
  -0.110717,    0.007164
  -0.103992,    0.007298
  -0.097056,    0.007498
  -0.089911,    0.007813
  -0.082566,    0.008420
  -0.075004,    0.009245
  -0.067228,    0.010349
  -0.059081,    0.011729
