CDi, CL
   0.007175,    0.190615
   0.007354,    0.213139
   0.007575,    0.235663
   0.007826,    0.258187
   0.008035,    0.280711
   0.008235,    0.303235
   0.008454,    0.325759
   0.008738,    0.348283
   0.009080,    0.370807
   0.009485,    0.393331
   0.009930,    0.415855
   0.010408,    0.438379
   0.010917,    0.460903
   0.011458,    0.483427
   0.012038,    0.505951
   0.012677,    0.528475
   0.013371,    0.550999
   0.014113,    0.573523
   0.014901,    0.596047
   0.015727,    0.618571
   0.016588,    0.641095
   0.017488,    0.663618
   0.018427,    0.686142
   0.019408,    0.708666
   0.020426,    0.731190
   0.021479,    0.753714
   0.022567,    0.776238
   0.023692,    0.798762
   0.024860,    0.821286
   0.026078,    0.843810
   0.027343,    0.866334
   0.028651,    0.888858
   0.029997,    0.911382
   0.031384,    0.933906
   0.032812,    0.956430
   0.034281,    0.978954
   0.035852,    1.001478
   0.037505,    1.024002
   0.039219,    1.046526
   0.041046,    1.069050
