CDi, CL
   0.006067,    0.190615
   0.005968,    0.213139
   0.005881,    0.235663
   0.005794,    0.258187
   0.005632,    0.280711
   0.005432,    0.303235
   0.005219,    0.325759
   0.005039,    0.348283
   0.004888,    0.370807
   0.004768,    0.393331
   0.004657,    0.415855
   0.004549,    0.438379
   0.004440,    0.460903
   0.004333,    0.483427
   0.004233,    0.505951
   0.004162,    0.528475
   0.004114,    0.550999
   0.004084,    0.573523
   0.004069,    0.596047
   0.004061,    0.618571
   0.004057,    0.641095
   0.004060,    0.663618
   0.004073,    0.686142
   0.004096,    0.708666
   0.004125,    0.731190
   0.004159,    0.753714
   0.004196,    0.776238
   0.004239,    0.798762
   0.004295,    0.821286
   0.004369,    0.843810
   0.004460,    0.866334
   0.004562,    0.888858
   0.004672,    0.911382
   0.004792,    0.933906
   0.004922,    0.956430
   0.005061,    0.978954
   0.005272,    1.001478
   0.005534,    1.024002
   0.005826,    1.046526
   0.006201,    1.069050
