Speed(TAS), Altitude
 126.788385,    0.000000
 127.399131,  328.083990
 128.014193,  656.167979
 128.633610,  984.251969
 129.257423, 1312.335958
 129.885673, 1640.419948
 130.518401, 1968.503937
 131.155651, 2296.587927
 131.797465, 2624.671916
 132.443886, 2952.755906
 133.094957, 3280.839895
 133.750723, 3608.923885
 134.411228, 3937.007874
 135.076518, 4265.091864
 135.746639, 4593.175853
 136.421637, 4921.259843
 137.101559, 5249.343832
 137.786451, 5577.427822
 138.476364, 5905.511811
 139.171344, 6233.595801
 139.871441, 6561.679790
 140.576705, 6889.763780
 141.287186, 7217.847769
 142.002935, 7545.931759
 142.724004, 7874.015748
 143.450446, 8202.099738
 144.182312, 8530.183727
 144.919657, 8858.267717
 145.662534, 9186.351706
 146.410999, 9514.435696
 147.165107, 9842.519685
 147.924915, 10170.603675
 148.690478, 10498.687664
 149.461855, 10826.771654
 150.239105, 11154.855643
 151.022286, 11482.939633
 151.811458, 11811.023622
 152.606681, 12139.107612
 153.408018, 12467.191601
 154.215529, 12795.275591
 155.029278, 13123.359580
 155.849329, 13451.443570
 156.675746, 13779.527559
 157.508595, 14107.611549
 158.347941, 14435.695538
 159.193851, 14763.779528
 160.046394, 15091.863517
 160.905638, 15419.947507
 161.771652, 15748.031496
 162.644508, 16076.115486
 163.524276, 16404.199475
 164.411030, 16732.283465
 165.304841, 17060.367454
 166.205785, 17388.451444
 167.113937, 17716.535433
 168.029373, 18044.619423
 168.952170, 18372.703412
 169.882406, 18700.787402
 170.820161, 19028.871391
 171.765515, 19356.955381
 172.718550, 19685.039370
 173.679347, 20013.123360
 174.647991, 20341.207349
 175.624565, 20669.291339
 176.609157, 20997.375328
 177.601852, 21325.459318
 178.602740, 21653.543307
 179.611909, 21981.627297
 180.629450, 22309.711286
 181.655455, 22637.795276
 182.690017, 22965.879265
 183.733230, 23293.963255
 184.785190, 23622.047244
 185.845994, 23950.131234
 186.915740, 24278.215223
 187.994527, 24606.299213
 189.082458, 24934.383202
 190.179633, 25262.467192
 191.286158, 25590.551181
 192.402136, 25918.635171
 193.527676, 26246.719160
 194.662886, 26574.803150
 195.807874, 26902.887139
 196.962753, 27230.971129
 198.127636, 27559.055118
 199.302637, 27887.139108
 200.487872, 28215.223097
 201.683459, 28543.307087
 202.889518, 28871.391076
 204.106170, 29199.475066
 205.333538, 29527.559055
 206.571746, 29855.643045
 207.820922, 30183.727034
 209.081193, 30511.811024
 210.352691, 30839.895013
 211.635547, 31167.979003
 212.929895, 31496.062992
 214.235872, 31824.146982
 215.553616, 32152.230971
 216.883266, 32480.314961
 218.224966, 32808.398950
 219.578859, 33136.482940
 220.945092, 33464.566929
 222.323814, 33792.650919
 223.715176, 34120.734908
 225.119330, 34448.818898
 226.536433, 34776.902887
 227.966643, 35104.986877
 229.410119, 35433.070866
 230.867024, 35761.154856
 232.337524, 36089.238845
 234.103389, 36417.322835
 235.949947, 36745.406824
 237.811012, 37073.490814
 239.686697, 37401.574803
 241.577116, 37729.658793
 243.482384, 38057.742782
 245.402619, 38385.826772
 247.337937, 38713.910761
 249.288456, 39041.994751
 251.254294, 39370.078740
 253.235573, 39698.162730
 255.232412, 40026.246719
 257.244933, 40354.330709
 259.273259, 40682.414698
 261.317514, 41010.498688
 263.377821, 41338.582677
 265.454307, 41666.666667
 267.547099, 41994.750656
 269.656323, 42322.834646
 271.782108, 42650.918635
 273.924584, 42979.002625
 276.083882, 43307.086614
 278.260132, 43635.170604
 280.453467, 43963.254593
 282.664021, 44291.338583
 284.891929, 44619.422572
 287.137326, 44947.506562
 289.400348, 45275.590551
 291.681135, 45603.674541
 293.979824, 45931.758530
 386.500357, 46259.842520
 386.336663, 45931.758530
 386.490322, 45603.674541
 386.398913, 45275.590551
 386.055228, 44947.506562
 385.741133, 44619.422572
 385.456329, 44291.338583
 384.907109, 43963.254593
 384.677801, 43635.170604
 383.881351, 43307.086614
 383.404336, 42979.002625
 382.648825, 42650.918635
 381.912418, 42322.834646
