CLh_e, CDh_e
  -0.424887,    0.006429
  -0.400803,    0.006258
  -0.377546,    0.006102
  -0.355068,    0.005969
  -0.333434,    0.005848
  -0.312633,    0.005817
  -0.292642,    0.005829
  -0.273422,    0.005869
  -0.253236,    0.005922
  -0.235309,    0.006091
  -0.218204,    0.006288
  -0.201918,    0.006504
  -0.186476,    0.006793
  -0.171853,    0.007168
  -0.158012,    0.007566
  -0.144965,    0.008040
  -0.132736,    0.008692
  -0.121310,    0.009360
  -0.110694,    0.012114
  -0.100809,    0.015981
