CLh_e, CDh_e
  -0.441285,    0.006420
  -0.385372,    0.006266
  -0.330245,    0.006130
  -0.275962,    0.006004
  -0.222568,    0.005898
  -0.170048,    0.005799
  -0.118329,    0.005720
  -0.067486,    0.005653
  -0.017561,    0.005614
   0.033420,    0.005585
   0.081849,    0.005572
   0.129373,    0.005572
   0.175985,    0.005585
   0.221646,    0.005613
   0.266344,    0.005651
   0.310063,    0.005712
   0.352827,    0.005785
   0.394662,    0.005875
   0.435527,    0.005970
   0.475384,    0.006082
   0.514246,    0.006199
   0.551712,    0.006332
   0.586720,    0.006472
   0.618415,    0.006631
   0.646286,    0.006800
   0.670154,    0.006987
   0.690182,    0.007191
   0.706775,    0.007423
   0.720507,    0.007702
   0.732096,    0.008198
   0.742459,    0.008800
   0.752632,    0.009642
   0.763013,    0.010538
   0.772230,    0.011607
