CLh_e, CDh_e
  -0.440862,    0.006429
  -0.379958,    0.006258
  -0.320067,    0.006102
  -0.261151,    0.005969
  -0.203300,    0.005848
  -0.146516,    0.005759
  -0.090788,    0.005681
  -0.036080,    0.005631
   0.019446,    0.005592
   0.072325,    0.005575
   0.124082,    0.005573
   0.174711,    0.005590
   0.224162,    0.005624
   0.272458,    0.005673
   0.319638,    0.005741
   0.365677,    0.005822
   0.410528,    0.005927
   0.454200,    0.006043
   0.496671,    0.006178
   0.537626,    0.006321
   0.575724,    0.006482
   0.609887,    0.006653
   0.639526,    0.006841
   0.664477,    0.007045
   0.684986,    0.007278
   0.701630,    0.007544
   0.715292,    0.008019
   0.727088,    0.008646
   0.738325,    0.009529
   0.749911,    0.010533
   0.760161,    0.011723
