CLh_e, CDh_e
  -0.433610,    0.006429
  -0.385710,    0.006258
  -0.338816,    0.006102
  -0.292883,    0.005969
  -0.247995,    0.005848
  -0.204148,    0.005759
  -0.161324,    0.005681
  -0.119481,    0.005631
  -0.076822,    0.005592
  -0.036725,    0.005575
   0.002305,    0.005573
   0.040266,    0.005590
   0.077116,    0.005624
   0.112882,    0.005676
   0.147603,    0.005786
   0.181261,    0.005909
   0.213814,    0.006057
   0.245276,    0.006219
   0.275629,    0.006401
   0.304705,    0.006595
   0.331791,    0.006810
   0.356394,    0.007091
   0.378327,    0.007417
   0.397653,    0.007781
   0.414667,    0.008204
   0.429827,    0.008761
   0.443732,    0.009619
   0.457052,    0.010772
   0.470492,    0.012347
   0.484272,    0.019146
