CLh_e, CDh_e
  -0.422564,    0.006429
  -0.394471,    0.006258
  -0.367374,    0.006102
  -0.341217,    0.005969
  -0.316074,    0.005848
  -0.291932,    0.005759
  -0.268762,    0.005760
  -0.246517,    0.005792
  -0.223456,    0.005837
  -0.202829,    0.005908
  -0.183184,    0.006083
  -0.164518,    0.006286
  -0.146862,    0.006508
  -0.130184,    0.006777
  -0.114439,    0.007157
  -0.099641,    0.007553
  -0.085820,    0.007977
  -0.072958,    0.008617
  -0.061063,    0.009290
  -0.050081,    0.010650
  -0.039767,    0.015560
  -0.029726,    0.016313
