CLh_e, CDh_e
  -0.428773,    0.006420
  -0.400664,    0.006266
  -0.373198,    0.006130
  -0.346416,    0.006004
  -0.320349,    0.005898
  -0.294976,    0.005799
  -0.270232,    0.005724
  -0.246170,    0.005722
  -0.222822,    0.005749
  -0.198308,    0.005785
  -0.176040,    0.005842
  -0.154456,    0.005914
  -0.133555,    0.006073
  -0.113363,    0.006248
  -0.093885,    0.006435
  -0.075127,    0.006648
  -0.057065,    0.006910
  -0.039677,    0.007247
  -0.022988,    0.007593
  -0.007020,    0.007958
   0.008242,    0.008378
   0.022802,    0.008935
   0.036708,    0.009504
   0.050053,    0.010170
   0.062987,    0.014082
