CLh_e, CDh_e
  -0.433588,    0.006429
  -0.385727,    0.006258
  -0.338873,    0.006102
  -0.292981,    0.005969
  -0.248133,    0.005848
  -0.204325,    0.005759
  -0.161541,    0.005681
  -0.119738,    0.005631
  -0.077118,    0.005592
  -0.037060,    0.005575
   0.001931,    0.005573
   0.039852,    0.005590
   0.076664,    0.005624
   0.112390,    0.005678
   0.147074,    0.005787
   0.180693,    0.005910
   0.213208,    0.006059
   0.244632,    0.006220
   0.274948,    0.006403
   0.303987,    0.006597
   0.331040,    0.006812
   0.355613,    0.007095
   0.377522,    0.007422
   0.396831,    0.007786
   0.413833,    0.008209
   0.428989,    0.008769
   0.442895,    0.009627
   0.456219,    0.010785
   0.469666,    0.012399
   0.483453,    0.019146
