CLh_e, CDh_e
  -0.422795,    0.006420
  -0.397020,    0.006266
  -0.372017,    0.006130
  -0.347833,    0.006004
  -0.324500,    0.005898
  -0.301989,    0.005799
  -0.280217,    0.005753
  -0.259248,    0.005759
  -0.239112,    0.005795
  -0.217940,    0.005841
  -0.199117,    0.005908
  -0.181084,    0.006070
  -0.163839,    0.006250
  -0.147410,    0.006447
  -0.131797,    0.006657
  -0.117008,    0.006985
  -0.103011,    0.007342
  -0.089778,    0.007718
  -0.077337,    0.008150
  -0.065712,    0.008742
  -0.054883,    0.009347
  -0.044784,    0.010592
  -0.035188,    0.015135
  -0.025843,    0.016291
