CLh_e, CDh_e
  -0.422525,    0.006429
  -0.394502,    0.006258
  -0.367475,    0.006102
  -0.341388,    0.005969
  -0.316315,    0.005848
  -0.292242,    0.005759
  -0.269142,    0.005761
  -0.246966,    0.005794
  -0.223975,    0.005838
  -0.203415,    0.005910
  -0.183839,    0.006087
  -0.165242,    0.006290
  -0.147653,    0.006513
  -0.131042,    0.006785
  -0.115365,    0.007165
  -0.100633,    0.007562
  -0.086878,    0.007987
  -0.074081,    0.008634
  -0.062252,    0.009308
  -0.051333,    0.010728
  -0.041079,    0.015679
  -0.031089,    0.016313
