CLh_e, CDh_e
  -0.433881,    0.006420
  -0.390036,    0.006266
  -0.346972,    0.006130
  -0.304742,    0.006004
  -0.263385,    0.005898
  -0.222881,    0.005799
  -0.183154,    0.005720
  -0.144273,    0.005653
  -0.106277,    0.005614
  -0.067233,    0.005585
  -0.030659,    0.005572
   0.005056,    0.005572
   0.039908,    0.005585
   0.073864,    0.005613
   0.106916,    0.005651
   0.139050,    0.005730
   0.170295,    0.005840
   0.200677,    0.005968
   0.230159,    0.006103
   0.258711,    0.006256
   0.286348,    0.006416
   0.312855,    0.006594
   0.337688,    0.006783
   0.360433,    0.007021
   0.380899,    0.007313
   0.399100,    0.007640
   0.415264,    0.008006
   0.429741,    0.008425
   0.442939,    0.009061
   0.455298,    0.009908
   0.467346,    0.011082
   0.479621,    0.012847
   0.492005,    0.019195
