CLh_e, CDh_e
  -0.440923,    0.006429
  -0.379910,    0.006258
  -0.319909,    0.006102
  -0.260884,    0.005969
  -0.202924,    0.005848
  -0.146031,    0.005759
  -0.090195,    0.005681
  -0.035378,    0.005631
   0.020257,    0.005592
   0.073243,    0.005575
   0.125108,    0.005573
   0.175842,    0.005590
   0.225400,    0.005624
   0.273801,    0.005673
   0.321087,    0.005741
   0.367230,    0.005822
   0.412184,    0.005927
   0.455959,    0.006043
   0.498533,    0.006178
   0.539588,    0.006321
   0.577778,    0.006482
   0.612022,    0.006653
   0.641726,    0.006841
   0.666725,    0.007045
   0.687263,    0.007278
   0.703919,    0.007544
   0.717579,    0.008012
   0.729363,    0.008640
   0.740581,    0.009516
   0.752149,    0.010512
   0.762385,    0.011702
