Ground Distance, Mach number
   0.000000,    0.000001
   0.016710,    0.000894
   0.183420,    0.001783
   0.368626,    0.002671
   0.553832,    0.003559
   0.739038,    0.004448
   0.924244,    0.005336
   1.109450,    0.006224
   1.294656,    0.007112
   1.479861,    0.008001
   1.665067,    0.008889
   1.850273,    0.009777
   2.302722,    0.010657
   2.788539,    0.011535
   3.274355,    0.012414
   3.760172,    0.013292
   4.245989,    0.014171
   4.731805,    0.015049
   5.217622,    0.015927
   5.703439,    0.016806
   6.189255,    0.017684
   6.675072,    0.018563
   7.425098,    0.019432
   8.208113,    0.020300
   8.991129,    0.021169
   9.774144,    0.022037
  10.557159,    0.022905
  11.340174,    0.023773
  12.123190,    0.024642
  12.906205,    0.025510
  13.689220,    0.026378
  14.472235,    0.027246
  15.516345,    0.028105
  16.593054,    0.028963
  17.669764,    0.029821
  18.746474,    0.030679
  19.823183,    0.031537
  20.899893,    0.032394
  21.976602,    0.033252
  23.053312,    0.034110
  24.130021,    0.034968
  25.206731,    0.035826
  26.541343,    0.036674
  27.908156,    0.037521
  29.274969,    0.038368
  30.641782,    0.039216
  32.008595,    0.040063
  33.375408,    0.040910
  34.742222,    0.041757
  36.109035,    0.042604
  37.475848,    0.043451
  38.842661,    0.044298
  40.464113,    0.045136
  42.117358,    0.045972
  43.770603,    0.046808
  45.423849,    0.047644
  47.077094,    0.048480
  48.730340,    0.049316
  50.383585,    0.050152
  52.036831,    0.050989
  53.690076,    0.051825
  55.343321,    0.052661
  57.247422,    0.053484
  59.182843,    0.054306
  61.118265,    0.055128
  63.053687,    0.055949
  64.989109,    0.056771
  66.924530,    0.057593
  68.859952,    0.058415
  70.795374,    0.059236
  72.730796,    0.060058
  74.666217,    0.060880
  76.847931,    0.061688
  79.060396,    0.062495
  81.272861,    0.063301
  83.485326,    0.064108
  85.697791,    0.064914
  87.910256,    0.065721
  90.122721,    0.066527
  92.335186,    0.067334
  94.547651,    0.068140
  96.760117,    0.068947
  99.214249,    0.069740
 101.698557,    0.070531
 104.182864,    0.071322
 106.667172,    0.072113
 109.151479,    0.072904
 111.635787,    0.073695
 114.120094,    0.074487
 116.604402,    0.075278
 119.088709,    0.076069
 121.573017,    0.076860
 124.294359,    0.077638
 127.045296,    0.078414
 129.796234,    0.079190
 132.547172,    0.079965
 135.298110,    0.080741
 138.049047,    0.081517
 140.799985,    0.082293
 143.550923,    0.083069
 146.301861,    0.083845
