Ground Roll distance, Load Factor
1123.401550,    1.053056
1150.352771,    1.047776
1337.384298,    1.011652
1374.399154,    1.004609
1411.285025,    0.997625
1448.042546,    0.990699
1484.672345,    0.983831
1487.101438,    0.983377
1488.962296,    0.983029
1490.523985,    0.982737
1491.316368,    0.982589
1491.812963,    0.982496
1492.218916,    0.982420
1492.378281,    0.982390
1492.476974,    0.982372
1492.527629,    0.982363
1492.548959,    0.982359
1492.570317,    0.982354
1492.783893,    0.982310
1494.919385,    0.981866
1516.247551,    0.977377
1661.638817,    0.943929
1806.077723,    0.905110
1942.480526,    0.862342
1996.039409,    0.843677
2033.964572,    0.829753
2072.011654,    0.815159
2186.483005,    0.767105
2296.396727,    0.714304
2397.772305,    0.658777
2490.510898,    0.601214
2574.780591,    0.542323
2650.837811,    0.482875
2719.008677,    0.423675
2779.671911,    0.365537
2833.238883,    0.309260
2844.826487,    0.296407
2851.772318,    0.288579
2860.016268,    0.279166
2867.523836,    0.270479
2910.191779,    0.218922
2915.837031,    0.211806
2918.374851,    0.208584
2921.034465,    0.205191
2946.410382,    0.171952
2978.177784,    0.127970
2979.282112,    0.126389
2980.427914,    0.124746
2991.470361,    0.108718
3017.048174,    0.070177
3037.318520,    0.038062
3041.139880,    0.031830
3041.578257,    0.031111
3041.971498,    0.030466
3045.676224,    0.024346
3056.673002,    0.005726
3058.206190,    0.003063
3058.891013,    0.001865
3059.365618,    0.001032
3059.683596,    0.000471
3059.869957,    0.000142
3059.945720,    0.000007
3059.949503,    0.000001
3059.949811,    0.000000
3059.949826,    0.000000
