alpha body, Static Stability Margin
  -4.000000,   -0.183798
  -3.172414,   -0.164194
  -2.344828,   -0.140697
  -1.517241,   -0.132870
  -0.689655,   -0.122198
   0.137931,   -0.114502
   0.965517,   -0.109555
   1.793103,   -0.101608
   2.620690,   -0.093689
   3.448276,   -0.085789
   4.275862,   -0.082249
   5.103448,   -0.088083
   5.931034,   -0.092069
   6.758621,   -0.089233
   7.586207,   -0.088222
   8.413793,   -0.106320
   9.241379,   -0.201462
  10.068966,   -0.610684
  10.896552,   -1.945276
  11.724138,   -2.116172
  12.551724,   -0.880548
  13.379310,   -0.352448
  14.206897,   -0.175099
  15.034483,   -0.093621
