alpha body, Static Stability Margin
  -4.000000,    0.139495
  -3.172414,    0.156209
  -2.344828,    0.176254
  -1.517241,    0.182910
  -0.689655,    0.191894
   0.137931,    0.198289
   0.965517,    0.202290
   1.793103,    0.208759
   2.620690,    0.215137
   3.448276,    0.221435
   4.275862,    0.223964
   5.103448,    0.218462
   5.931034,    0.214470
   6.758621,    0.216220
   7.586207,    0.216539
   8.413793,    0.202275
   9.241379,    0.127350
  10.068966,   -0.201791
  10.896552,   -1.312913
  11.724138,   -1.476377
  12.551724,   -0.462711
  13.379310,   -0.025663
  14.206897,    0.121254
  15.034483,    0.188536
  15.862069,    0.211978
