alpha body, Static Stability Margin
 -10.000000,    0.291461
  -9.090909,    0.281433
  -8.181818,    0.261191
  -7.272727,    0.240704
  -6.363636,    0.220395
  -5.454545,    0.200969
  -4.545455,    0.181931
  -3.636364,    0.165385
  -2.727273,    0.155270
  -1.818182,    0.135789
  -0.909091,    0.113518
  -0.000000,    0.101759
   0.909091,    0.090164
   1.818182,    0.078546
   2.727273,    0.067177
   3.636364,    0.056394
   4.545455,    0.046440
   5.454545,    0.036788
   6.363636,    0.027049
   7.272727,    0.017683
   8.181818,    0.008975
   9.090909,    0.000900
  10.000000,   -0.006821
  10.909091,   -0.016902
  11.818182,   -0.039555
  12.727273,   -0.086981
  13.636364,   -0.170029
  14.545455,   -0.345808
  15.454545,   -0.766049
  16.363636,   -1.572191
  17.272727,   -3.867861
