alpha body, Static Stability Margin
 -10.000000,    0.286247
  -9.000000,    0.274865
  -8.000000,    0.252535
  -7.000000,    0.230346
  -6.000000,    0.208129
  -5.000000,    0.186411
  -4.000000,    0.168647
  -3.000000,    0.155096
  -2.000000,    0.133191
  -1.000000,    0.110972
   0.000000,    0.097675
   1.000000,    0.084568
   2.000000,    0.071722
   3.000000,    0.059818
   4.000000,    0.048527
   5.000000,    0.037438
   6.000000,    0.026682
   7.000000,    0.016414
   8.000000,    0.006559
   9.000000,   -0.002767
  10.000000,   -0.011569
  11.000000,   -0.023477
  12.000000,   -0.051639
  13.000000,   -0.112913
  14.000000,   -0.224189
  15.000000,   -0.540082
  16.000000,   -1.196720
  17.000000,   -2.888999
  18.000000, -107.185099
