alpha body, Static Stability Margin
 -10.000000,    0.427303
  -9.090909,    0.417732
  -8.181818,    0.398395
  -7.272727,    0.378784
  -6.363636,    0.359279
  -5.454545,    0.340536
  -4.545455,    0.322108
  -3.636364,    0.306021
  -2.727273,    0.295997
  -1.818182,    0.277013
  -0.909091,    0.255345
  -0.000000,    0.243640
   0.909091,    0.232053
   1.818182,    0.220406
   2.727273,    0.208958
   3.636364,    0.198038
   4.545455,    0.187885
   5.454545,    0.177994
   6.363636,    0.167984
   7.272727,    0.158302
   8.181818,    0.149229
   9.090909,    0.140752
  10.000000,    0.132600
  10.909091,    0.122173
  11.818182,    0.099750
  12.727273,    0.053711
  13.636364,   -0.026321
  14.545455,   -0.195067
  15.454545,   -0.598137
  16.363636,   -1.372014
  17.272727,   -3.586467
  18.181818,   16.679044
  19.090909,   21.881818
  20.000000,    5.094127
