alpha body, Static Stability Margin
 -10.000000,    0.286679
  -9.000000,    0.275299
  -8.000000,    0.252972
  -7.000000,    0.230786
  -6.000000,    0.208572
  -5.000000,    0.186855
  -4.000000,    0.169093
  -3.000000,    0.155543
  -2.000000,    0.133640
  -1.000000,    0.111423
   0.000000,    0.098126
   1.000000,    0.085019
   2.000000,    0.072173
   3.000000,    0.060269
   4.000000,    0.048977
   5.000000,    0.037887
   6.000000,    0.027130
   7.000000,    0.016861
   8.000000,    0.007005
   9.000000,   -0.002322
  10.000000,   -0.011126
  11.000000,   -0.023035
  12.000000,   -0.051196
  13.000000,   -0.112463
  14.000000,   -0.223727
  15.000000,   -0.539579
  16.000000,   -1.196133
  17.000000,   -2.888211
  18.000000, -107.271743
