alpha body, Static Stability Margin
 -10.000000,    0.093579
  -9.090909,    0.083872
  -8.181818,    0.064330
  -7.272727,    0.044662
  -6.363636,    0.025271
  -5.454545,    0.006813
  -4.545455,   -0.011184
  -3.636364,   -0.026386
  -2.727273,   -0.034658
  -1.818182,   -0.052840
  -0.909091,   -0.073974
  -0.000000,   -0.083920
   0.909091,   -0.093615
   1.818182,   -0.103252
   2.727273,   -0.112570
   3.636364,   -0.121257
   4.545455,   -0.129106
   5.454545,   -0.136602
   6.363636,   -0.144083
