eta, Cl
   0.000000,    0.464844
   0.020408,    0.466888
   0.040816,    0.471009
   0.061224,    0.475272
   0.081633,    0.479572
   0.102041,    0.483849
   0.122449,    0.488063
   0.142857,    0.492186
   0.163265,    0.496199
   0.183673,    0.500084
   0.204082,    0.503830
   0.224490,    0.507425
   0.244898,    0.510858
   0.265306,    0.514119
   0.285714,    0.517199
   0.306122,    0.520087
   0.326531,    0.522772
   0.346939,    0.525242
   0.367347,    0.527486
   0.387755,    0.529487
   0.408163,    0.531232
   0.428571,    0.532701
   0.448980,    0.533876
   0.469388,    0.534735
   0.489796,    0.535252
   0.510204,    0.535397
   0.530612,    0.535135
   0.551020,    0.534436
   0.571429,    0.533259
   0.591837,    0.531556
   0.612245,    0.529277
   0.632653,    0.526359
   0.653061,    0.522735
   0.673469,    0.518326
   0.693878,    0.513038
   0.714286,    0.506767
   0.734694,    0.499387
   0.755102,    0.490754
   0.775510,    0.480693
   0.795918,    0.468997
   0.816327,    0.455415
   0.836735,    0.439632
   0.857143,    0.421251
   0.877551,    0.399749
   0.897959,    0.374404
   0.918367,    0.344160
   0.938776,    0.307320
   0.959184,    0.260761
   0.979592,    0.197042
   1.000000,    0.000000
