eta, M
   0.000000, 51511.369186
   0.020408, 49095.089138
   0.040816, 46895.864999
   0.061224, 44698.112306
   0.081633, 42491.142964
   0.102041, 40270.244477
   0.122449, 38033.639718
   0.142857, 35781.221422
   0.163265, 33513.904436
   0.183673, 31233.258212
   0.204082, 28941.285667
   0.224490, 26640.285611
   0.244898, 24332.765915
   0.265306, 22021.389028
   0.285714, 19708.938932
   0.306122, 17398.302883
   0.326531, 15092.463733
   0.346939, 12794.500199
   0.367347, 10507.593374
   0.387755, 8235.038504
   0.408163, 5980.261438
   0.428571, 3746.839566
   0.448980, 1538.527279
   0.469388, -640.713757
   0.489796, -2786.679010
   0.510204, -4894.843345
   0.530612, -6960.325381
   0.551020, -8977.913933
   0.571429, -10941.917704
   0.591837, -12846.104626
   0.612245, -14683.607509
   0.632653, -16446.811592
   0.653061, -18127.219582
   0.673469, -19715.288368
   0.693878, -21200.229505
   0.714286, -22569.762547
   0.734694, -23809.805485
   0.755102, -24904.078832
   0.775510, -25833.586798
   0.795918, -26575.916196
   0.816327, -27104.252674
   0.836735, -27385.937516
   0.857143, -27380.240272
   0.877551, -27034.717294
   0.897959, -26278.839030
   0.918367, -25011.826016
   0.938776, -23076.445790
   0.959184, -20191.064011
   0.979592, -15704.519698
   1.000000,    0.000000
