eta, M
   0.000000, 10302.273837
   0.020408, 9819.017828
   0.040816, 9379.173000
   0.061224, 8939.622461
   0.081633, 8498.228593
   0.102041, 8054.048895
   0.122449, 7606.727944
   0.142857, 7156.244284
   0.163265, 6702.780887
   0.183673, 6246.651642
   0.204082, 5788.257133
   0.224490, 5328.057122
   0.244898, 4866.553183
   0.265306, 4404.277806
   0.285714, 3941.787786
   0.306122, 3479.660577
   0.326531, 3018.492747
   0.346939, 2558.900040
   0.367347, 2101.518675
   0.387755, 1647.007701
   0.408163, 1196.052288
   0.428571,  749.367913
   0.448980,  307.705456
   0.469388, -128.142751
   0.489796, -557.335802
   0.510204, -978.968669
   0.530612, -1392.065076
   0.551020, -1795.582787
   0.571429, -2188.383541
   0.591837, -2569.220925
   0.612245, -2936.721502
   0.632653, -3289.362318
   0.653061, -3625.443916
   0.673469, -3943.057674
   0.693878, -4240.045901
   0.714286, -4513.952509
   0.734694, -4761.961097
   0.755102, -4980.815766
   0.775510, -5166.717360
   0.795918, -5315.183239
   0.816327, -5420.850535
   0.836735, -5477.187503
   0.857143, -5476.048054
   0.877551, -5406.943459
   0.897959, -5255.767806
   0.918367, -5002.365203
   0.938776, -4615.289158
   0.959184, -4038.212802
   0.979592, -3140.903940
   1.000000,    0.000000
