Ground Distance, 
   0.000000,  116.710353
 812.892208,  116.710353
 844.283650,  115.214067
 875.675092,  113.717780
 907.066534,  112.221493
 938.457977,  110.725207
 969.849419,  109.228920
1001.240861,  107.732634
1032.632303,  106.236347
1064.023745,  104.740061
1095.415188,  103.243774
1097.930005,  103.216316
1123.041432,  102.942277
1295.202078,  101.070164
1329.257198,  100.701202
1363.188072,  100.334026
1396.995301,   99.968622
1406.529687,   99.865645
1425.569015,   99.660101
1432.294856,   99.587520
1434.983821,   99.558506
1436.059188,   99.546904
1436.517985,   99.541954
1437.435512,   99.532055
1437.511818,   99.531231
1437.549637,   99.530823
1437.572672,   99.530575
1437.591167,   99.530375
1437.604171,   99.530235
1437.608037,   99.530193
1437.609132,   99.530158
1437.610137,   99.530123
1437.620186,   99.529776
1437.720683,   99.526303
1438.725458,   99.491559
1448.753841,   99.142258
1547.030358,   95.456672
1657.658616,   90.635555
1758.068646,   85.465761
1847.571022,   80.013964
1926.661209,   74.307935
1995.994799,   68.371135
2056.273604,   62.223932
2070.826907,   60.560904
2079.929396,   59.478592
2086.583807,   58.665325
2089.807712,   58.264306
2093.054244,   57.855757
2124.242829,   53.666529
2138.687950,   51.539891
2146.865522,   50.274489
2149.811330,   49.806802
2153.326881,   49.239981
2186.226675,   43.400029
2194.754263,   41.694874
2202.486663,   40.062973
2206.003410,   39.290730
2207.980235,   38.847737
2210.004374,   38.387265
2228.902874,   33.698677
2254.542919,   25.660019
2259.336082,   23.803121
2263.695454,   21.960276
2267.899694,   20.004023
2268.789006,   19.562630
2269.095565,   19.407936
2269.436009,   19.234543
2272.671891,   17.492216
2283.986943,    8.790561
2285.605774,    6.615328
2286.520786,    4.969186
2287.111806,    3.508933
2287.473331,    2.169585
2287.655064,    0.932654
2287.676508,    0.644980
2287.695920,    0.068960
2287.696125,    0.019965
2287.696143,   -0.003757
