CLe, Static Stability Margin
  -0.119284,    0.139495
  -0.031054,    0.156209
   0.057325,    0.176254
   0.145852,    0.182910
   0.234526,    0.191894
   0.323473,    0.198289
   0.412431,    0.202290
   0.501536,    0.208759
   0.590787,    0.215137
   0.680185,    0.221435
   0.769731,    0.223964
   0.859426,    0.218462
   0.949268,    0.214470
   1.039259,    0.216220
   1.129400,    0.216539
   1.217773,    0.202275
   1.289894,    0.127350
   1.334678,   -0.201791
   1.353913,   -1.312913
   1.362375,   -1.476377
   1.387882,   -0.462711
   1.471368,   -0.025663
   1.666959,    0.121254
   2.042038,    0.188536
   2.677285,    0.211978
