CLe, Static Stability Margin
  -0.109881,   -0.183798
  -0.028559,   -0.164194
   0.052896,   -0.140697
   0.134483,   -0.132870
   0.216205,   -0.122198
   0.298177,   -0.114502
   0.380161,   -0.109555
   0.462285,   -0.101608
   0.544548,   -0.093689
   0.626954,   -0.085789
   0.709505,   -0.082249
   0.792203,   -0.088083
   0.875049,   -0.092069
   0.958045,   -0.089233
   1.041194,   -0.088222
   1.122728,   -0.106320
   1.189293,   -0.201462
   1.230668,   -0.610684
   1.248509,   -1.945276
   1.256454,   -2.116172
   1.280188,   -0.880548
   1.357524,   -0.352448
   1.538497,   -0.175099
   1.885442,   -0.093621
