Ground Roll Distance, Acceleration
 342.412694,   -0.640516
 350.625849,   -0.638178
 407.598816,   -0.622268
 418.868028,   -0.619185
 430.095961,   -0.616133
 441.282832,   -0.613113
 452.428858,   -0.610124
 454.746301,   -0.609505
 454.788675,   -0.609493
 454.816897,   -0.609486
 454.825170,   -0.738589
 454.832773,   -0.738621
 454.908806,   -0.738936
 455.669018,   -0.742090
 463.259236,   -0.774095
 507.196242,   -0.979279
 550.712801,   -1.221688
 591.731466,   -1.494690
 603.808237,   -1.584815
 616.579139,   -1.685232
 651.866253,   -1.995747
 685.694542,   -2.347697
 716.876647,   -2.731114
 745.383185,   -3.143961
 771.267157,   -3.583832
 794.610009,   -4.047518
 815.515394,   -4.531070
 834.103406,   -5.029900
 850.504030,   -5.538902
 853.973843,   -5.656597
 856.171137,   -5.733169
 857.375839,   -5.775647
 858.533997,   -5.815525
 869.613013,   -6.219965
 873.356736,   -6.367075
 875.674542,   -6.461138
 876.516614,   -6.495786
 877.422374,   -6.532990
 886.014040,   -6.906347
 889.691001,   -7.078978
 894.418289,   -7.314556
 894.935674,   -7.341382
 895.310886,   -7.360095
 895.646352,   -7.376628
 898.883049,   -7.540491
 906.679831,   -7.975113
 912.849060,   -8.381097
 913.548974,   -8.432963
 913.854065,   -8.456107
 913.980686,   -8.465833
 914.181524,   -8.483001
 915.996756,   -8.649043
 919.031084,   -9.023324
 919.346416,   -9.087756
 919.498588,   -9.128023
 919.598393,   -9.163238
 919.657214,   -9.194697
 919.681742,   -9.222733
 919.683263,   -9.229564
 919.683351,   -9.231206
 919.683354,   -9.231698
