eta, Total_load
   0.000000, 24620.240047
   0.020408, 24523.688613
   0.040816, 24510.325674
   0.061224, 24487.604314
   0.081633, 24455.360686
   0.102041, 24413.488266
   0.122449, 24361.908044
   0.142857, 24300.555307
   0.163265, 24229.371711
   0.183673, 24148.299592
   0.204082, 24057.277410
   0.224490, 23956.235815
   0.244898, 23845.094100
   0.265306, 23723.756877
   0.285714, 23592.110870
   0.306122, 23450.021742
   0.326531, 23297.330877
   0.346939, 23133.852033
   0.367347, 22959.367792
   0.387755, 22773.625714
   0.408163, 22576.334100
   0.428571, 22367.157258
   0.448980, 22145.710141
   0.469388, 21911.552214
   0.489796, 21664.180364
   0.510204, 21402.866784
   0.530612, 21126.926581
   0.551020, 20835.750833
   0.571429, 20528.478690
   0.591837, 20204.125358
   0.612245, 19861.561685
   0.632653, 19499.489151
   0.653061, 19116.408893
   0.673469, 18710.582937
   0.693878, 18279.985017
   0.714286, 17822.237303
   0.734694, 17334.527644
   0.755102, 16813.499241
   0.775510, 16255.100313
   0.795918, 15654.373919
   0.816327, 15005.155103
   0.836735, 14299.618456
   0.857143, 13527.572125
   0.877551, 12675.295281
   0.897959, 11723.488962
   0.918367, 10643.325625
   0.938776, 9387.823684
   0.959184, 7869.107969
   0.979592, 5874.813714
   1.000000,    0.000000
