eta, Total_load
   0.000000, 4924.048009
   0.020408, 4904.737723
   0.040816, 4902.065135
   0.061224, 4897.520863
   0.081633, 4891.072137
   0.102041, 4882.697653
   0.122449, 4872.381609
   0.142857, 4860.111061
   0.163265, 4845.874342
   0.183673, 4829.659918
   0.204082, 4811.455482
   0.224490, 4791.247163
   0.244898, 4769.018820
   0.265306, 4744.751375
   0.285714, 4718.422174
   0.306122, 4690.004348
   0.326531, 4659.466175
   0.346939, 4626.770407
   0.367347, 4591.873558
   0.387755, 4554.725143
   0.408163, 4515.266820
   0.428571, 4473.431452
   0.448980, 4429.142028
   0.469388, 4382.310443
   0.489796, 4332.836073
   0.510204, 4280.573357
   0.530612, 4225.385316
   0.551020, 4167.150167
   0.571429, 4105.695738
   0.591837, 4040.825072
   0.612245, 3972.312337
   0.632653, 3899.897830
   0.653061, 3823.281779
   0.673469, 3742.116587
   0.693878, 3655.997003
   0.714286, 3564.447461
   0.734694, 3466.905529
   0.755102, 3362.699848
   0.775510, 3251.020063
   0.795918, 3130.874784
   0.816327, 3001.031021
   0.836735, 2859.923691
   0.857143, 2705.514425
   0.877551, 2535.059056
   0.897959, 2344.697792
   0.918367, 2128.665125
   0.938776, 1877.564737
   0.959184, 1573.821594
   0.979592, 1174.962743
   1.000000,    0.000000
