eta, Cm
   0.000000,    0.014843
   0.020408,    0.014298
   0.040816,    0.013786
   0.061224,    0.013252
   0.081633,    0.012696
   0.102041,    0.012117
   0.122449,    0.011516
   0.142857,    0.010893
   0.163265,    0.010248
   0.183673,    0.009581
   0.204082,    0.008891
   0.224490,    0.008181
   0.244898,    0.007448
   0.265306,    0.006695
   0.285714,    0.005920
   0.306122,    0.005125
   0.326531,    0.004310
   0.346939,    0.003475
   0.367347,    0.002621
   0.387755,    0.001748
   0.408163,    0.000858
   0.428571,   -0.000049
   0.448980,   -0.000972
   0.469388,   -0.001909
   0.489796,   -0.002860
   0.510204,   -0.003822
   0.530612,   -0.004794
   0.551020,   -0.005774
   0.571429,   -0.006759
   0.591837,   -0.007746
   0.612245,   -0.008731
   0.632653,   -0.009712
   0.653061,   -0.010682
   0.673469,   -0.011636
   0.693878,   -0.012568
   0.714286,   -0.013470
   0.734694,   -0.014333
   0.755102,   -0.015145
   0.775510,   -0.015893
   0.795918,   -0.016559
   0.816327,   -0.017125
   0.836735,   -0.017562
   0.857143,   -0.017840
   0.877551,   -0.017913
   0.897959,   -0.017722
   0.918367,   -0.017183
   0.938776,   -0.016162
   0.959184,   -0.014428
   0.979592,   -0.011458
   1.000000,    0.000000
