eta, Cm
   0.000000,    0.074217
   0.020408,    0.071489
   0.040816,    0.068930
   0.061224,    0.066259
   0.081633,    0.063478
   0.102041,    0.060585
   0.122449,    0.057580
   0.142857,    0.054465
   0.163265,    0.051239
   0.183673,    0.047903
   0.204082,    0.044457
   0.224490,    0.040903
   0.244898,    0.037241
   0.265306,    0.033473
   0.285714,    0.029601
   0.306122,    0.025626
   0.326531,    0.021549
   0.346939,    0.017375
   0.367347,    0.013105
   0.387755,    0.008742
   0.408163,    0.004291
   0.428571,   -0.000244
   0.448980,   -0.004859
   0.469388,   -0.009546
   0.489796,   -0.014300
   0.510204,   -0.019112
   0.530612,   -0.023972
   0.551020,   -0.028871
   0.571429,   -0.033795
   0.591837,   -0.038729
   0.612245,   -0.043657
   0.632653,   -0.048558
   0.653061,   -0.053408
   0.673469,   -0.058181
   0.693878,   -0.062842
   0.714286,   -0.067352
   0.734694,   -0.071665
   0.755102,   -0.075725
   0.775510,   -0.079463
   0.795918,   -0.082797
   0.816327,   -0.085623
   0.836735,   -0.087812
   0.857143,   -0.089198
   0.877551,   -0.089563
   0.897959,   -0.088611
   0.918367,   -0.085914
   0.938776,   -0.080812
   0.959184,   -0.072142
   0.979592,   -0.057292
   1.000000,    0.000000
