Mach, Specific Range
   0.436292,    0.162160
   0.438438,    0.161837
   0.440585,    0.161519
   0.442732,    0.161206
   0.444878,    0.160861
   0.447025,    0.160459
   0.449172,    0.160061
   0.451319,    0.159667
   0.453465,    0.159237
   0.455612,    0.158784
   0.457759,    0.158336
   0.459905,    0.157890
   0.462052,    0.157421
   0.464199,    0.156945
   0.466346,    0.156472
   0.468492,    0.156004
   0.470639,    0.155515
   0.472786,    0.155018
   0.474932,    0.154526
   0.477079,    0.154037
   0.479226,    0.153538
   0.481373,    0.153021
   0.483519,    0.152509
   0.485666,    0.152000
   0.487813,    0.151501
   0.489959,    0.150971
   0.492106,    0.150445
   0.494253,    0.149922
   0.496400,    0.149403
   0.498546,    0.148872
   0.500693,    0.148328
   0.502840,    0.147791
   0.504986,    0.147258
   0.507133,    0.146729
   0.509280,    0.146179
   0.511427,    0.145620
   0.513573,    0.145064
   0.515720,    0.144516
   0.517867,    0.143972
   0.520013,    0.143407
   0.522160,    0.142831
   0.524307,    0.142258
   0.526454,    0.141689
   0.528600,    0.141124
   0.530747,    0.140551
   0.532894,    0.139964
   0.535040,    0.139380
   0.537187,    0.138800
   0.539334,    0.138224
   0.541481,    0.137650
   0.543627,    0.137052
   0.545774,    0.136453
   0.547921,    0.135859
   0.550067,    0.135267
   0.552214,    0.134680
   0.554361,    0.134094
   0.556508,    0.133483
   0.558654,    0.132873
   0.560801,    0.132266
   0.562948,    0.131664
   0.565094,    0.131065
   0.567241,    0.130470
   0.569388,    0.129852
   0.571535,    0.129228
   0.573681,    0.128609
   0.575828,    0.127993
   0.577975,    0.127382
   0.580121,    0.126774
   0.582268,    0.126156
   0.584415,    0.125521
   0.586562,    0.124886
   0.588708,    0.124256
   0.590855,    0.123629
   0.593002,    0.123007
   0.595148,    0.122390
   0.597295,    0.121751
   0.599442,    0.121099
   0.601589,    0.120452
   0.603735,    0.119809
   0.605882,    0.119171
   0.608029,    0.118538
   0.610175,    0.117909
   0.612322,    0.117258
   0.614469,    0.116602
   0.616616,    0.115952
   0.618762,    0.115306
   0.620909,    0.114665
   0.623056,    0.114028
   0.625203,    0.113392
   0.627349,    0.112751
   0.629496,    0.112098
   0.631643,    0.111449
   0.633789,    0.110806
   0.635936,    0.110167
   0.638083,    0.109533
   0.640230,    0.108897
   0.642376,    0.108265
   0.644523,    0.107636
   0.646670,    0.106997
   0.648816,    0.106363
